file;;row;;col;;error;;analyzer
internal/action/command.go;;482;;2;;`if !local` has complex nested blocks (complexity: 29);;(nestif)
internal/action/termpane.go;;123;;2;;`if ok` has complex nested blocks (complexity: 18);;(nestif)
internal/action/actions.go;;831;;2;;`if err != nil` has complex nested blocks (complexity: 16);;(nestif)
internal/action/actions.go;;782;;3;;`if !canceled` has complex nested blocks (complexity: 14);;(nestif)
internal/action/bindings.go;;250;;2;;`if e == nil` has complex nested blocks (complexity: 11);;(nestif)
internal/action/actions.go;;56;;2;;`if h.mouseReleased` has complex nested blocks (complexity: 10);;(nestif)
internal/action/bufpane.go;;543;;2;;`if (!isMulti && cursor == 0) || isMulti` has complex nested blocks (complexity: 10);;(nestif)
internal/action/bufpane.go;;405;;2;;`if h.Buf.ExternallyModified() && !h.Buf.ReloadDisabled` has complex nested blocks (complexity: 9);;(nestif)
internal/action/command.go;;211;;2;;`if len(args) > 0` has complex nested blocks (complexity: 9);;(nestif)
internal/action/command.go;;285;;2;;`if len(args) > 0` has complex nested blocks (complexity: 9);;(nestif)
internal/action/bindings.go;;300;;2;;`if e == nil` has complex nested blocks (complexity: 8);;(nestif)
internal/action/command.go;;812;;2;;`if all` has complex nested blocks (complexity: 8);;(nestif)
internal/action/actions.go;;1170;;2;;`if h.Cursor.HasSelection()` has complex nested blocks (complexity: 7);;(nestif)
internal/action/bufpane.go;;106;;3;;`if strings.HasPrefix(a, "command:")` has complex nested blocks (complexity: 7);;(nestif)
internal/action/actions.go;;187;;2;;`if h.Cursor.HasSelection()` has complex nested blocks (complexity: 6);;(nestif)
internal/action/actions.go;;212;;2;;`if h.Cursor.HasSelection()` has complex nested blocks (complexity: 6);;(nestif)
